Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,05/25/2022,05/25/2022
Enhanced Community Renewables Program,CA,Regulatory Policy,Community Solar Rules,05/31/2022,05/20/2025
PG&E GoGreen Business Energy Financing,CA,Financial Incentive,Loan Program,08/02/2023,07/24/2025
City of Santa Cruz - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,08/11/2004,10/24/2023
City of Sebastopol - Solar Access,CA,Regulatory Policy,Solar/Wind Access Policy,08/11/2004,10/30/2023
Burbank Water & Power - Green Building Incentive Program,CA,Financial Incentive,Green Building Incentive,06/26/2006,08/25/2025
City of Lompoc Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/26/2006,09/12/2025
City of San Francisco - GreenFinanceSF,CA,Financial Incentive,PACE Financing,04/16/2010,09/21/2021
Homebuyer Solar Option and Solar Offset Program,CA,Regulatory Policy,Building Energy Code,03/28/2011,05/16/2025
LADWP - Net Metering,CA,Regulatory Policy,Net Metering,06/07/2011,03/21/2025
City of Sebastopol - Mandatory Solar Requirement for Residential and Commercial Buildings,CA,Regulatory Policy,Building Energy Code,11/26/2014,06/08/2020
City of Fresno - Installation of Solar Energy Systems in Construction of New City-owned Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,09/06/2016,06/17/2024
San Bernardino County – Accessory Wind Energy System Permit,CA,Regulatory Policy,Solar/Wind Permitting Standards,09/06/2016,09/19/2024
California Electric Vehicle Infrastructure Project (CALeVIP),CA,Financial Incentive,Rebate Program,05/20/2021,05/07/2025
Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,CA,Financial Incentive,Sales Tax Incentive,05/21/2021,02/25/2025
Anaheim Public Utilities - EV Fleet Charger and Infrastructure Rebate,CA,Financial Incentive,Rebate Program,07/02/2021,01/28/2025
Azusa Light & Water - EV Charger Rebate,CA,Financial Incentive,Rebate Program,07/03/2021,06/09/2025
California - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,CA,Financial Incentive,Grant Program,06/11/2024,06/11/2024
Bay Area Regional Energy Network (BayREN) - Single Family Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/29/2024,07/29/2024
Colorado Solar/Wind Easements and Rights Law,CO,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/30/2023
Holy Cross Energy - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,05/17/2005,09/26/2025
Fort Collins Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,03/13/2006,09/04/2025
Fort Collins Utilities - Home Efficiency Loan Program,CO,Financial Incentive,Loan Program,03/13/2006,08/06/2024
Colorado Springs Utilities - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,07/10/2006,08/06/2024
Black Hills Energy - Solar Power Program,CO,Financial Incentive,Performance-Based Incentive,07/17/2006,05/22/2021
Building Energy Code,CO,Regulatory Policy,Building Energy Code,07/28/2006,05/23/2023
Holy Cross Energy - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/25/2006,06/12/2025
United Power - Residential Energy Efficient Appliance Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/05/2024
Renewable Energy Property Tax Assessment,CO,Financial Incentive,Property Tax Incentive,02/16/2007,11/20/2025
Clean Energy Fund,CO,Regulatory Policy,Public Benefits Fund,02/06/2008,07/26/2021
Solar Construction Permitting Standards,CO,Regulatory Policy,Solar/Wind Permitting Standards,05/29/2008,03/04/2023
Sales and Use Tax Exemption for Renewable Energy Equipment,CO,Financial Incentive,Sales Tax Incentive,05/27/2009,09/26/2025
Empire Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/07/2009,08/22/2024
Black Hills Energy (Electric) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,08/04/2010,01/17/2025
Black Hills Energy (Electric) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,08/05/2010,11/26/2024
Energy Efficiency Resource Standard,CO,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010,06/30/2025
Poudre Valley REA - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/14/2024
Loveland Water & Power - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,04/29/2011,08/28/2024
City and County of Denver - Solar Panel Permitting,CO,Regulatory Policy,Solar/Wind Permitting Standards,12/07/2012,05/29/2024
Green Colorado Credit Reserve,CO,Financial Incentive,Loan Program,11/05/2014,07/20/2022
Residential Energy Upgrade (RENU) Loan Program,CO,Financial Incentive,Loan Program,08/03/2018,01/27/2023
Electric Vehicle Income Tax Credit,CO,Financial Incentive,Personal Tax Credit,05/21/2021,03/27/2025
Charge Ahead Colorado,CO,Financial Incentive,Grant Program,05/21/2021,12/08/2021
ALT Fuels Colorado,CO,Financial Incentive,Grant Program,05/21/2021,12/31/2021
Energy Impact Assistance Fund Grant Program,CO,Financial Incentive,Grant Program,05/21/2021,12/31/2021
Sustainable Rebuilding Program,CO,Financial Incentive,Grant Program,02/22/2023,12/04/2023
Sustainable Rebuilding Program,CO,Financial Incentive,Loan Program,02/22/2023,02/22/2023
City and County of Denver - Heat Pump Rebates for Existing Buildings,CO,Financial Incentive,Rebate Program,12/20/2024,12/20/2024
City and County of Denver - Steam to Electric Conversion Incentive,CO,Financial Incentive,Grant Program,12/20/2024,12/20/2024
City and County of Denver - District Energy Conversion Incentive,CO,Financial Incentive,Grant Program,12/20/2024,12/20/2024
City and County of Denver - Green Workforce Mini Grant,CO,Financial Incentive,Grant Program,02/26/2025,02/26/2025
Mountain Parks Electric - Clean Power Program Rebate,CO,Financial Incentive,Rebate Program,03/17/2025,09/26/2025
High Country Conservation - Solarize Summit,CO,Financial Incentive,Rebate Program,03/17/2025,03/17/2025
Colorado Solar/Wind Easements and Rights Law,CO,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/30/2023
Holy Cross Energy - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,05/17/2005,09/26/2025
City of Boulder - Solar Access Ordinance,CO,Regulatory Policy,Solar/Wind Access Policy,02/02/2001,10/20/2023
Fort Collins Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,03/13/2006,09/04/2025
Fort Collins Utilities - Home Efficiency Loan Program,CO,Financial Incentive,Loan Program,03/13/2006,08/06/2024
Colorado Springs Utilities - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,07/10/2006,08/06/2024
Black Hills Energy - Solar Power Program,CO,Financial Incentive,Performance-Based Incentive,07/17/2006,05/22/2021
Building Energy Code,CO,Regulatory Policy,Building Energy Code,07/28/2006,05/23/2023
Holy Cross Energy - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/25/2006,06/12/2025
"Mountain View Electric Association, Inc - Energy Efficiency Rebates Program",CO,Financial Incentive,Rebate Program,08/31/2006,08/08/2024
United Power - Residential Energy Efficient Appliance Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/05/2024
Renewable Energy Property Tax Assessment,CO,Financial Incentive,Property Tax Incentive,02/16/2007,11/20/2025
Fort Collins - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,11/27/2007,06/24/2024
Clean Energy Fund,CO,Regulatory Policy,Public Benefits Fund,02/06/2008,07/26/2021
City of Boulder - Solar Grant Program,CO,Financial Incentive,Grant Program,05/28/2008,07/20/2022
Solar Construction Permitting Standards,CO,Regulatory Policy,Solar/Wind Permitting Standards,05/29/2008,03/04/2023
Sales and Use Tax Exemption for Renewable Energy Equipment,CO,Financial Incentive,Sales Tax Incentive,05/27/2009,09/26/2025
Delta-Montrose Electric Association - Residential Weatherization Rebate Program,CO,Financial Incentive,Rebate Program,08/06/2009,08/21/2024
Empire Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/07/2009,08/22/2024
City of Boulder - Solar Sales and Use Tax Rebate,CO,Financial Incentive,Sales Tax Incentive,04/08/2010,03/17/2025
Black Hills Energy (Electric) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,08/04/2010,01/17/2025
Black Hills Energy (Electric) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,08/05/2010,11/26/2024
San Miguel Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/24/2010,05/23/2024
Energy Efficiency Resource Standard,CO,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010,06/30/2025
United Power - Commercial and Industrial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/05/2024
Poudre Valley REA - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/14/2024
Loveland Water & Power - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,04/29/2011,08/28/2024
City and County of Denver - Solar Panel Permitting,CO,Regulatory Policy,Solar/Wind Permitting Standards,12/07/2012,05/29/2024
Green Colorado Credit Reserve,CO,Financial Incentive,Loan Program,11/05/2014,07/20/2022
Xcel Energy - Commercial Energy Efficiency Financing,CO,Financial Incentive,Loan Program,12/03/2014,05/28/2024
Residential Energy Upgrade (RENU) Loan Program,CO,Financial Incentive,Loan Program,08/03/2018,01/27/2023
San Isabel Electric Association - Commercial Lighting Rebate Program,CO,Financial Incentive,Rebate Program,05/21/2019,05/21/2024
La Plata Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,05/22/2019,05/23/2024
Electric Vehicle Income Tax Credit,CO,Financial Incentive,Personal Tax Credit,05/21/2021,03/27/2025
Charge Ahead Colorado,CO,Financial Incentive,Grant Program,05/21/2021,12/08/2021
ALT Fuels Colorado,CO,Financial Incentive,Grant Program,05/21/2021,12/31/2021
Gunnison County Electric - Electric Vehicle Rebates,CO,Financial Incentive,Rebate Program,07/16/2021,06/03/2024
Holy Cross Energy - EV Charger Incentives,CO,Financial Incentive,Rebate Program,07/16/2021,06/10/2025
San Isabel Electric Association - Electric Vehicle Charger Rebates,CO,Financial Incentive,Rebate Program,07/16/2021,06/16/2025
Boulder County - Partners for a Clean Environment (PACE) rebates,CO,Financial Incentive,Rebate Program,07/20/2022,07/20/2022
Sales Tax Exemption for Energy Storage Systems,CO,Financial Incentive,Sales Tax Incentive,02/22/2023,12/12/2024
Tax Credit for Residential Energy Storage Systems,CO,Financial Incentive,Personal Tax Credit,02/22/2023,09/24/2025
Sustainable Rebuilding Program,CO,Financial Incentive,Grant Program,02/22/2023,12/04/2023
City and County of Denver - Heat Pump Rebates for Existing Buildings,CO,Financial Incentive,Rebate Program,12/20/2024,12/20/2024
City and County of Denver - All-Electric New Construction Rebates,CO,Financial Incentive,Rebate Program,02/25/2025,02/25/2025
City and County of Denver - Heat Pump Installation Bonus for Contractors,CO,Financial Incentive,Rebate Program,02/25/2025,02/25/2025
City and County of Denver - Home Energy Rebates,CO,Financial Incentive,Rebate Program,02/26/2025,02/26/2025
City and County of Denver - Green Workforce Mini Grant,CO,Financial Incentive,Grant Program,02/26/2025,02/26/2025
Mountain Parks Electric - Clean Power Program Rebate,CO,Financial Incentive,Rebate Program,03/17/2025,09/26/2025
High Country Conservation - Solarize Summit,CO,Financial Incentive,Rebate Program,03/17/2025,03/17/2025
City of Boulder - Green Points Building Program,CO,Regulatory Policy,Building Energy Code,02/02/2001,07/20/2022
City of Boulder - Solar Access Ordinance,CO,Regulatory Policy,Solar/Wind Access Policy,02/02/2001,10/20/2023
"Mountain View Electric Association, Inc - Energy Efficiency Rebates Program",CO,Financial Incentive,Rebate Program,08/31/2006,08/08/2024
Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Sales Tax Incentive,04/27/2007,12/12/2024
Fort Collins - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,11/27/2007,06/24/2024
City of Boulder - Solar Grant Program,CO,Financial Incentive,Grant Program,05/28/2008,07/20/2022
Delta-Montrose Electric Association - Residential Weatherization Rebate Program,CO,Financial Incentive,Rebate Program,08/06/2009,08/21/2024
City of Boulder - Solar Sales and Use Tax Rebate,CO,Financial Incentive,Sales Tax Incentive,04/08/2010,03/17/2025
San Miguel Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/24/2010,05/23/2024
United Power - Commercial and Industrial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,08/31/2006,08/05/2024
Roaring Fork Valley - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,06/01/2011,07/07/2023
Holy Cross Energy - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,05/09/2012,08/05/2024
Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,10/10/2014,06/03/2024
Xcel Energy - Commercial Energy Efficiency Financing,CO,Financial Incentive,Loan Program,12/03/2014,05/28/2024
San Isabel Electric Association - Commercial Lighting Rebate Program,CO,Financial Incentive,Rebate Program,05/21/2019,05/21/2024
La Plata Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,05/22/2019,05/23/2024
Black Hills Energy - Ready EV Electric Vehicle Charging Rebate,CO,Financial Incentive,Rebate Program,07/16/2021,06/16/2025
Gunnison County Electric - Electric Vehicle Rebates,CO,Financial Incentive,Rebate Program,07/16/2021,06/03/2024
Holy Cross Energy - EV Charger Incentives,CO,Financial Incentive,Rebate Program,07/16/2021,06/10/2025
San Isabel Electric Association - Electric Vehicle Charger Rebates,CO,Financial Incentive,Rebate Program,07/16/2021,06/16/2025
Boulder County - Partners for a Clean Environment (PACE) rebates,CO,Financial Incentive,Rebate Program,07/20/2022,07/20/2022
Sales Tax Exemption for Energy Storage Systems,CO,Financial Incentive,Sales Tax Incentive,02/22/2023,12/12/2024
Tax Credit for Residential Energy Storage Systems,CO,Financial Incentive,Personal Tax Credit,02/22/2023,09/24/2025
City and County of Denver - Rebates for Electrification Feasilibity Reports,CO,Financial Incentive,Rebate Program,02/25/2025,02/25/2025
City and County of Denver - Building Electrification Retrofit Pilot,CO,Financial Incentive,Grant Program,02/25/2025,02/25/2025
City and County of Denver - All-Electric New Construction Rebates,CO,Financial Incentive,Rebate Program,02/25/2025,02/25/2025
City and County of Denver - Heat Pump Installation Bonus for Contractors,CO,Financial Incentive,Rebate Program,02/25/2025,02/25/2025
City and County of Denver - Home Energy Rebates,CO,Financial Incentive,Rebate Program,02/26/2025,02/26/2025
Connecticut Clean Energy Fund,CT,Regulatory Policy,Public Benefits Fund,01/01/2000,06/03/2025
Renewables Portfolio Standard,CT,Regulatory Policy,Renewables Portfolio Standard,01/01/2000,11/20/2025
Connecticut Green Power Purchase Plan,CT,Regulatory Policy,Green Power Purchasing,04/23/2004,12/12/2024
Smart-E loans,CT,Financial Incentive,Loan Program,04/21/2006,06/03/2025
Connecticut Appliance and Equipment Energy Efficiency Standards,CT,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/01/2006,10/30/2024
Groton Utilities - Residential Energy Efficiency Rebate Program,CT,Financial Incentive,Rebate Program,07/11/2006,10/17/2025
